Ticker,Nome
KNIP11,Kinea Índice De Preços Fundo
XPML11,Xp Malls Fundos
HGLG11,Pátria Log
BTLG11,Btg Pactual Logística
KNRI11,Kinea Renda Imobiliária
MXRF11,Maxi Renda
FTCE11,BOpportunity
VISC11,Vinci Shopping Centers
XPLG11,Xp Log
TRXF11,Trx Real Estate
HGRU11,Pátria Renda Urbana
IRDM11,Iridium Recebíveis Imobiliários
PVBI11,Vbi Prime Properties
CPTS11,Capitania Securities Ii
KNHY11,Kinea High Yield Cri
HGBS11,Hedge Brasil Shopping
TGAR11,Tg Ativo Real
KDIF11,Kinea Fi - Infra
RECR11,Fii Rec Recebíveis Imobiliários
HCTR11,Hectare Ce
BRCR11,Btg Pactual Corporate Office
KNCA11,Kinea Crédito Agro Fiagro
HSML11,Hsi Malls
JSRE11,Js Real Estate Multigestão - Fii
JURO11,Sparta Infra Fic Fi-Infra
BTHF11,Btg Pactual Real Estate Hedge Fund
GZIT11,Gazit Malls
KNHF11,Kinea Hedge Fund Fdo De Inv Imob
LVBI11,Vbi Logístico
BRCO11,Bresco Logística
HGRE11,Patria Escritórios
RZTR11,Riza Terrax
KNSC11,Kinea Securities
MCLO11,Mauá Capital Logística
GGRC11,Ggr Covepi Renda Fundo
HFOF11,Hedge Top
PMLL11,Genial Malls
MALL11,Genial Malls (Old)
VILG11,Vinci Logística
PFIN11,Perfin Apollo Energia Fip Em Infraestrutura
RBVA11,Rio Bravo Renda Varejo
TVRI11,Tivio Renda Imobiliária Fundo De Investimento Imob
RURA11,Itaú Asset Rural Fiagro
MCCI11,Mauá Capital Recebíveis Imobiliários
IFRA11,Itau Fdo Inv Cotas Fdo Incent De Inv Infr. Rf Cp
KNUQ11,Kinea Unique Hy Cdi Fundo De Investimento Imob
HGCR11,Cghg Recebíveis Imobiliários
BDIF11,Fundo Em Infraestrutura Btg Pactual Dívida Infra
VGIR11,Valora Re Iii
CDII11,Sparta Infra Cdi Fic Fi-Infra
VGHF11,Valora Hedge
HSLG11,Hsi Logística
RBRR11,Rbr Rendimento High Grade
VCJR11,Vectis Juros Real
DEVA11,Devant Recebíveis Imobiliários
GARE11,Guardian Real Estate
ALZR11,Alianza Trust Renda Imobiliária
VRTA11,Fator Verita
